* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (KT USB Audio), MICROPHONE (Master Volume), 0, volume: 0.410
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 10, 2023 12:33:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Mar 10
* Smoothing: 1/6 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141603 80.250 -57.6529
20.507814 80.228 -59.8904
20.874025 80.194 -62.0900
21.240236 80.151 -64.2383
21.606447 80.099 -66.3215
21.972658 80.043 -68.3317
22.338869 79.985 -70.2701
22.705080 79.928 -72.1459
23.071291 79.872 -73.9716
23.437502 79.818 -75.7590
23.803713 79.765 -77.5176
24.169924 79.711 -79.2523
24.536135 79.654 -80.9646
24.902346 79.594 -82.6526
25.268557 79.530 -84.3123
25.634768 79.463 -85.9392
26.000979 79.392 -87.5299
26.367190 79.319 -89.0836
26.733401 79.244 -90.6017
27.099612 79.169 -92.0861
27.465823 79.093 -93.5374
27.832034 79.017 -94.9549
28.198245 78.942 -96.3364
28.564456 78.867 -97.6808
28.930667 78.795 -98.9891
29.296878 78.725 -100.2657
29.663089 78.659 -101.5164
30.029300 78.596 -102.7471
30.395511 78.535 -103.9614
30.761722 78.476 -105.1600
31.127932 78.418 -106.3408
31.494143 78.361 -107.5005
31.860354 78.303 -108.6366
32.226565 78.246 -109.7478
32.592776 78.190 -110.8345
32.958987 78.134 -111.8979
33.325198 78.078 -112.9401
33.691409 78.023 -113.9625
34.057620 77.968 -114.9661
34.423831 77.912 -115.9514
34.790042 77.856 -116.9188
35.156253 77.800 -117.8690
35.522464 77.744 -118.8026
35.888675 77.688 -119.7200
36.254886 77.631 -120.6216
36.621097 77.575 -121.5076
36.987308 77.518 -122.3779
37.353519 77.462 -123.2327
37.719730 77.406 -124.0721
38.085941 77.351 -124.8969
38.452152 77.296 -125.7078
38.818363 77.241 -126.5056
39.184574 77.187 -127.2910
39.550785 77.133 -128.0643
39.916996 77.080 -128.8254
40.283207 77.026 -129.5742
40.649418 76.972 -130.3102
41.015629 76.918 -131.0333
41.381840 76.864 -131.7436
41.748051 76.810 -132.4417
42.114262 76.756 -133.1282
42.480472 76.702 -133.8044
42.846683 76.649 -134.4714
43.212894 76.595 -135.1302
43.579105 76.542 -135.7816
43.945316 76.490 -136.4259
44.311527 76.437 -137.0635
44.677738 76.384 -137.6942
45.043949 76.332 -138.3177
45.410160 76.280 -138.9335
45.776371 76.228 -139.5405
46.142582 76.176 -140.1376
46.508793 76.125 -140.7233
46.875004 76.074 -141.2964
47.241215 76.024 -141.8561
47.607426 75.975 -142.4022
47.973637 75.926 -142.9355
48.339848 75.880 -143.4574
48.706059 75.834 -143.9695
49.072270 75.790 -144.4734
49.438481 75.747 -144.9706
49.804692 75.704 -145.4618
50.170903 75.662 -145.9473
50.537114 75.621 -146.4272
50.903325 75.579 -146.9013
51.269536 75.537 -147.3693
51.635747 75.496 -147.8309
52.001958 75.454 -148.2861
52.368169 75.411 -148.7349
52.734380 75.369 -149.1772
53.100591 75.326 -149.6133
53.466801 75.283 -150.0435
53.833012 75.240 -150.4680
54.199223 75.197 -150.8871
54.565434 75.154 -151.3011
54.931645 75.111 -151.7103
55.297856 75.068 -152.1146
55.664067 75.025 -152.5143
56.030278 74.983 -152.9091
56.396489 74.940 -153.2992
56.762700 74.898 -153.6843
57.128911 74.856 -154.0642
57.495122 74.814 -154.4388
57.861333 74.773 -154.8079
58.227544 74.732 -155.1714
58.593755 74.691 -155.5291
58.959966 74.650 -155.8810
59.326177 74.610 -156.2272
59.692388 74.570 -156.5677
60.058599 74.530 -156.9028
60.424810 74.491 -157.2327
60.791021 74.451 -157.5577
61.157232 74.412 -157.8783
61.523443 74.373 -158.1949
61.889654 74.335 -158.5077
62.255865 74.296 -158.8171
62.622076 74.257 -159.1234
62.988287 74.218 -159.4266
63.354498 74.180 -159.7271
63.720709 74.141 -160.0249
64.086920 74.102 -160.3201
64.453131 74.064 -160.6128
64.819341 74.025 -160.9030
65.185552 73.986 -161.1906
65.551763 73.947 -161.4754
65.917974 73.909 -161.7574
66.284185 73.870 -162.0364
66.650396 73.831 -162.3123
67.016607 73.793 -162.5848
67.382818 73.755 -162.8540
67.749029 73.717 -163.1198
68.115240 73.679 -163.3820
68.481451 73.642 -163.6407
68.847662 73.605 -163.8959
69.213873 73.568 -164.1476
69.580084 73.531 -164.3958
69.946295 73.495 -164.6402
70.312506 73.459 -164.8810
70.678717 73.423 -165.1182
71.044928 73.388 -165.3517
71.411139 73.352 -165.5816
71.777350 73.317 -165.8080
72.143561 73.282 -166.0310
72.509772 73.247 -166.2509
72.875983 73.213 -166.4677
73.242194 73.178 -166.6817
73.608405 73.144 -166.8931
73.974616 73.110 -167.1021
74.340827 73.076 -167.3087
74.707038 73.043 -167.5132
75.073249 73.009 -167.7156
75.439460 72.976 -167.9161
75.805670 72.942 -168.1146
76.171881 72.909 -168.3115
76.538092 72.876 -168.5066
76.904303 72.843 -168.7001
77.270514 72.810 -168.8920
77.636725 72.777 -169.0823
78.002936 72.745 -169.2709
78.369147 72.712 -169.4579
78.735358 72.680 -169.6432
79.101569 72.648 -169.8267
79.467780 72.615 -170.0082
79.833991 72.583 -170.1877
80.200202 72.552 -170.3652
80.566413 72.520 -170.5406
80.932624 72.488 -170.7139
81.298835 72.457 -170.8850
81.665046 72.426 -171.0540
82.031257 72.395 -171.2208
82.397468 72.364 -171.3855
82.763679 72.334 -171.5481
83.129890 72.304 -171.7087
83.496101 72.273 -171.8673
83.862312 72.244 -172.0240
84.228523 72.214 -172.1788
84.594734 72.185 -172.3319
84.960945 72.156 -172.4833
85.327156 72.127 -172.6331
85.693367 72.098 -172.7814
86.059578 72.070 -172.9281
86.425789 72.041 -173.0733
86.792000 72.013 -173.2170
87.158210 71.985 -173.3593
87.524421 71.958 -173.5000
87.890632 71.930 -173.6392
88.256843 71.903 -173.7769
88.623054 71.876 -173.9131
88.989265 71.848 -174.0477
89.355476 71.822 -174.1807
89.721687 71.795 -174.3122
90.087898 71.768 -174.4420
90.454109 71.742 -174.5703
90.820320 71.716 -174.6967
91.186531 71.690 -174.8215
91.552742 71.664 -174.9447
91.918953 71.639 -175.0661
92.285164 71.613 -175.1859
92.651375 71.588 -175.3040
93.017586 71.563 -175.4204
93.383797 71.538 -175.5353
93.750008 71.513 -175.6486
94.116219 71.489 -175.7606
94.482430 71.465 -175.8710
94.848641 71.441 -175.9802
95.214852 71.417 -176.0881
95.581063 71.393 -176.1948
95.947274 71.369 -176.3003
96.313485 71.346 -176.4047
96.679696 71.323 -176.5080
97.045907 71.300 -176.6103
97.412118 71.277 -176.7115
97.778329 71.254 -176.8118
98.144540 71.231 -176.9111
98.510750 71.208 -177.0094
98.876961 71.186 -177.1068
99.243172 71.163 -177.2033
99.609383 71.141 -177.2990
99.975594 71.119 -177.3937
100.341805 71.097 -177.4876
100.708016 71.075 -177.5807
101.074227 71.053 -177.6731
101.440438 71.031 -177.7648
101.806649 71.009 -177.8557
102.172860 70.988 -177.9460
102.539071 70.966 -178.0356
102.905282 70.945 -178.1246
103.271493 70.923 -178.2131
103.637704 70.902 -178.3010
104.003915 70.881 -178.3883
104.370126 70.860 -178.4751
104.736337 70.839 -178.5614
105.102548 70.818 -178.6472
105.468759 70.798 -178.7324
105.834970 70.777 -178.8171
106.201181 70.757 -178.9013
106.567392 70.736 -178.9849
106.933603 70.716 -179.0679
107.299814 70.696 -179.1503
107.666025 70.676 -179.2322
108.032236 70.656 -179.3135
108.398447 70.637 -179.3941
108.764658 70.617 -179.4741
109.130869 70.598 -179.5535
109.497079 70.579 -179.6323
109.863290 70.560 -179.7105
110.229501 70.541 -179.7881
110.595712 70.522 -179.8651
110.961923 70.504 -179.9414
111.328134 70.485 179.9827
111.694345 70.467 179.9075
112.060556 70.449 179.8328
112.426767 70.431 179.7585
112.792978 70.413 179.6848
113.159189 70.396 179.6116
113.525400 70.378 179.5388
113.891611 70.361 179.4665
114.257822 70.344 179.3947
114.624033 70.327 179.3233
114.990244 70.309 179.2524
115.356455 70.293 179.1819
115.722666 70.276 179.1119
116.088877 70.259 179.0424
116.455088 70.242 178.9733
116.821299 70.226 178.9046
117.187510 70.209 178.8364
117.553721 70.192 178.7686
117.919932 70.176 178.7013
118.286143 70.159 178.6344
118.652354 70.143 178.5679
119.018565 70.126 178.5019
119.384776 70.110 178.4362
119.750987 70.094 178.3710
120.117198 70.077 178.3062
120.483409 70.061 178.2418
120.849619 70.045 178.1777
121.215830 70.028 178.1141
121.582041 70.012 178.0509
121.948252 69.996 177.9880
122.314463 69.979 177.9256
122.680674 69.963 177.8635
123.046885 69.947 177.8018
123.413096 69.931 177.7405
123.779307 69.915 177.6797
124.145518 69.899 177.6192
124.511729 69.883 177.5591
124.877940 69.867 177.4995
125.244151 69.852 177.4403
125.610362 69.836 177.3817
125.976573 69.820 177.3234
126.342784 69.805 177.2657
126.708995 69.789 177.2086
127.075206 69.774 177.1520
127.441417 69.759 177.0961
127.807628 69.743 177.0407
128.173839 69.728 176.9860
128.540050 69.713 176.9319
128.906261 69.698 176.8784
129.272472 69.683 176.8257
129.638683 69.668 176.7736
130.004894 69.653 176.7222
130.371105 69.638 176.6714
130.737316 69.624 176.6214
131.103527 69.609 176.5721
131.469738 69.594 176.5233
131.835948 69.580 176.4753
132.202159 69.566 176.4279
132.568370 69.551 176.3810
132.934581 69.537 176.3348
133.300792 69.523 176.2892
133.667003 69.508 176.2440
134.033214 69.494 176.1995
134.399425 69.480 176.1553
134.765636 69.466 176.1118
135.131847 69.452 176.0685
135.498058 69.438 176.0258
135.864269 69.425 175.9834
136.230480 69.411 175.9413
136.596691 69.397 175.8997
136.962902 69.384 175.8584
137.329113 69.370 175.8174
137.695324 69.357 175.7767
138.061535 69.343 175.7363
138.427746 69.330 175.6962
138.793957 69.317 175.6564
139.160168 69.304 175.6168
139.526379 69.290 175.5775
139.892590 69.277 175.5385
140.258801 69.264 175.4998
140.625012 69.251 175.4614
140.991223 69.238 175.4232
141.357434 69.225 175.3853
141.723645 69.213 175.3477
142.089856 69.200 175.3104
142.456067 69.187 175.2733
142.822278 69.174 175.2366
143.188488 69.162 175.2003
143.554699 69.149 175.1642
143.920910 69.136 175.1285
144.287121 69.124 175.0931
144.653332 69.111 175.0581
145.019543 69.099 175.0234
145.385754 69.086 174.9892
145.751965 69.074 174.9553
146.118176 69.062 174.9218
146.484387 69.049 174.8886
146.850598 69.037 174.8559
147.216809 69.025 174.8236
147.583020 69.013 174.7917
147.949231 69.000 174.7603
148.315442 68.988 174.7292
148.681653 68.976 174.6985
149.047864 68.964 174.6684
149.414075 68.952 174.6386
149.780286 68.940 174.6093
150.146497 68.928 174.5804
150.512708 68.916 174.5519
150.878919 68.904 174.5239
151.245130 68.893 174.4962
151.611341 68.881 174.4689
151.977552 68.869 174.4421
152.343763 68.857 174.4156
152.709974 68.845 174.3895
153.076185 68.834 174.3637
153.442396 68.822 174.3383
153.808607 68.811 174.3132
154.174818 68.799 174.2885
154.541028 68.788 174.2640
154.907239 68.776 174.2398
155.273450 68.765 174.2159
155.639661 68.753 174.1922
156.005872 68.742 174.1688
156.372083 68.731 174.1456
156.738294 68.719 174.1227
157.104505 68.708 174.1000
157.470716 68.697 174.0775
157.836927 68.686 174.0552
158.203138 68.675 174.0330
158.569349 68.664 174.0112
158.935560 68.653 173.9894
159.301771 68.642 173.9679
159.667982 68.631 173.9466
160.034193 68.620 173.9254
160.400404 68.609 173.9044
160.766615 68.599 173.8837
161.132826 68.588 173.8630
161.499037 68.577 173.8426
161.865248 68.567 173.8223
162.231459 68.556 173.8022
162.597670 68.546 173.7823
162.963881 68.535 173.7625
163.330092 68.525 173.7429
163.696303 68.514 173.7235
164.062514 68.504 173.7042
164.428725 68.494 173.6852
164.794936 68.484 173.6663
165.161147 68.474 173.6475
165.527357 68.463 173.6289
165.893568 68.453 173.6105
166.259779 68.443 173.5923
