* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (KT USB Audio), MICROPHONE (Master Volume), 0, volume: 0.410
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 10, 2023 12:35:09 PM
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: 
* Measurement: Mar 10
* Smoothing: 1/6 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141603 79.298 -55.2650
20.507814 79.269 -57.5486
20.874025 79.229 -59.7772
21.240236 79.182 -61.9524
21.606447 79.129 -64.0769
21.972658 79.073 -66.1533
22.338869 79.015 -68.1824
22.705080 78.955 -70.1622
23.071291 78.893 -72.0894
23.437502 78.830 -73.9596
23.803713 78.767 -75.7698
24.169924 78.704 -77.5200
24.536135 78.643 -79.2141
24.902346 78.582 -80.8600
25.268557 78.523 -82.4675
25.634768 78.466 -84.0457
26.000979 78.408 -85.6008
26.367190 78.349 -87.1351
26.733401 78.289 -88.6477
27.099612 78.227 -90.1355
27.465823 78.162 -91.5951
27.832034 78.095 -93.0234
28.198245 78.027 -94.4178
28.564456 77.957 -95.7770
28.930667 77.888 -97.1005
29.296878 77.820 -98.3898
29.663089 77.753 -99.6481
30.029300 77.688 -100.8799
30.395511 77.625 -102.0902
30.761722 77.565 -103.2827
31.127932 77.507 -104.4592
31.494143 77.450 -105.6198
31.860354 77.394 -106.7631
32.226565 77.338 -107.8870
32.592776 77.284 -108.9899
32.958987 77.229 -110.0707
33.325198 77.176 -111.1290
33.691409 77.122 -112.1654
34.057620 77.069 -113.1807
34.423831 77.017 -114.1759
34.790042 76.964 -115.1520
35.156253 76.911 -116.1095
35.522464 76.857 -117.0488
35.888675 76.804 -117.9703
36.254886 76.749 -118.8749
36.621097 76.695 -119.7636
36.987308 76.640 -120.6378
37.353519 76.584 -121.4987
37.719730 76.529 -122.3474
38.085941 76.473 -123.1842
38.452152 76.417 -124.0093
38.818363 76.361 -124.8226
39.184574 76.304 -125.6238
39.550785 76.247 -126.4127
39.916996 76.191 -127.1891
40.283207 76.134 -127.9526
40.649418 76.078 -128.7028
41.015629 76.022 -129.4391
41.381840 75.966 -130.1616
41.748051 75.911 -130.8707
42.114262 75.857 -131.5668
42.480472 75.804 -132.2505
42.846683 75.752 -132.9224
43.212894 75.700 -133.5830
43.579105 75.649 -134.2327
43.945316 75.599 -134.8717
44.311527 75.549 -135.5004
44.677738 75.500 -136.1189
45.043949 75.451 -136.7273
45.410160 75.403 -137.3258
45.776371 75.355 -137.9146
46.142582 75.307 -138.4938
46.508793 75.260 -139.0641
46.875004 75.214 -139.6262
47.241215 75.168 -140.1809
47.607426 75.123 -140.7288
47.973637 75.078 -141.2706
48.339848 75.033 -141.8065
48.706059 74.989 -142.3368
49.072270 74.945 -142.8613
49.438481 74.901 -143.3800
49.804692 74.857 -143.8924
50.170903 74.814 -144.3978
50.537114 74.770 -144.8956
50.903325 74.726 -145.3851
51.269536 74.682 -145.8654
51.635747 74.639 -146.3362
52.001958 74.595 -146.7973
52.368169 74.552 -147.2488
52.734380 74.509 -147.6912
53.100591 74.466 -148.1251
53.466801 74.424 -148.5511
53.833012 74.382 -148.9701
54.199223 74.340 -149.3824
54.565434 74.298 -149.7886
54.931645 74.256 -150.1891
55.297856 74.214 -150.5842
55.664067 74.172 -150.9742
56.030278 74.130 -151.3593
56.396489 74.088 -151.7396
56.762700 74.045 -152.1157
57.128911 74.003 -152.4874
57.495122 73.961 -152.8551
57.861333 73.918 -153.2189
58.227544 73.876 -153.5787
58.593755 73.834 -153.9347
58.959966 73.792 -154.2869
59.326177 73.750 -154.6353
59.692388 73.708 -154.9799
60.058599 73.667 -155.3207
60.424810 73.625 -155.6577
60.791021 73.584 -155.9907
61.157232 73.544 -156.3195
61.523443 73.503 -156.6441
61.889654 73.463 -156.9642
62.255865 73.423 -157.2798
62.622076 73.384 -157.5908
62.988287 73.344 -157.8972
63.354498 73.305 -158.1992
63.720709 73.267 -158.4967
64.086920 73.228 -158.7902
64.453131 73.190 -159.0798
64.819341 73.152 -159.3659
65.185552 73.115 -159.6488
65.551763 73.077 -159.9287
65.917974 73.040 -160.2057
66.284185 73.003 -160.4800
